inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,7,7,0.0,1.0,0,3235,15.417171001434326,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.4375,6,0,0.0,1.4563975247163805,2.569528500239054,15.057774066925049,0.057405948638916016,5.584927192401098,0.04360313415527345,0.09153990745544435,0.14814395904541014,0.19784998893737796,0.24410700798034668,0.2788373947143554,0.3134721755981445,0.3479157447814942,6.382506561279302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.569528500239054,15.057774066925049,0.057405948638916016,5.584927192401098,0.04360313415527345,0.09153990745544435,0.14814395904541014,0.19784998893737796,0.24410700798034668,0.2788373947143554,0.3134721755981445,0.3479157447814942,6.382506561279302,462.14285714285717,1453,90,343.57142857142856,465.92379161386117,217084.97959183675,1.1737480468763424,0.09887461219481164,107.4,121.2,127.8,138.8,152.0,410.59999999999985,607.9999999999999,683.0000000000001,1006.0000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.14285714285717,1453,90,343.57142857142856,465.92379161386117,217084.97959183675,1.1737480468763424,0.09887461219481164,107.4,121.2,127.8,138.8,152.0,410.59999999999985,607.9999999999999,683.0000000000001,1006.0000000000002,TCP,"('192.168.137.162', '202.104.44.143', 60794, 27101, 'TCP')",Whatsapp41.pcap
6,0,6,1.0,0.0,4041,0,0.46140193939208984,-1,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-6,-6,-6,6.0,6,6,6.0,0.0,0.09228038787841797,0.169036865234375,4.601478576660156e-05,0.06644680947510666,0.0845184326171875,0.169036865234375,0.1690598726272583,0.1690828800201416,0.20251238346099854,0.23594188690185547,0.2644803524017334,0.29301881790161133,0.3772103786468506,0.09228038787841797,0.169036865234375,4.601478576660156e-05,0.06644680947510666,0.0845184326171875,0.169036865234375,0.1690598726272583,0.1690828800201416,0.20251238346099854,0.23594188690185547,0.2644803524017334,0.29301881790161133,0.3772103786468506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.5,1466,132,373.5,465.0264329404656,216249.58333333334,0.6104671641902841,-1.0972074834145649,232.5,333.0,384.0,435.0,499.5,564.0,837.5,1111.0,1288.5,673.5,1466,132,373.5,465.0264329404656,216249.58333333334,0.6104671641902841,-1.0972074834145649,232.5,333.0,384.0,435.0,499.5,564.0,837.5,1111.0,1288.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60794, 'TCP')",Whatsapp41.pcap
0,33,33,0.0,1.0,0,10837,14.129875183105469,1,2,4,5,7,9,10,12,14,15,17,19,20,22,24,25,27,29,30,32,2.2,16,0,1.0,4.27707064862545,0.4415585994720459,3.9250540733337402,0.0,0.86713259160797,0.45724034309387207,0.6768844604492188,0.7525557518005371,0.9102584838867188,1.1504151821136475,4.78571524620056,6.289227247238159,6.506366395950318,9.85481429100037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4415585994720459,3.9250540733337402,0.0,0.86713259160797,0.45724034309387207,0.6768844604492188,0.7525557518005371,0.9102584838867188,1.1504151821136475,4.78571524620056,6.289227247238159,6.506366395950318,9.85481429100037,328.3939393939394,1466,90,188.57575757575756,326.38896106128186,106529.75390266298,2.185111065399078,4.001083863204048,128.4,133.0,143.0,147.0,200.0,227.2,290.59999999999997,446.4000000000001,625.4000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.3939393939394,1466,90,188.57575757575756,326.38896106128186,106529.75390266298,2.185111065399078,4.001083863204048,128.4,133.0,143.0,147.0,200.0,227.2,290.59999999999997,446.4000000000001,625.4000000000001,TCP,"('192.168.137.162', '202.104.44.143', 60796, 27101, 'TCP')",Whatsapp41.pcap
65,0,65,1.0,0.0,44527,0,11.67146897315979,-1,-4,-7,-10,-14,-17,-20,-23,-27,-30,-33,-36,-40,-43,-46,-49,-53,-56,-59,-62,5.416666666666667,36,0,2.0,9.801856400136094,0.18236670270562172,3.872810125350952,9.059906005859375e-06,0.6098592633729749,0.6149908065795898,0.6228116512298584,0.6394961833953857,0.6770349025726319,0.8744549751281738,1.0547654151916503,3.5799352169036784,6.064285135269166,6.607113695144654,0.18236670270562172,3.872810125350952,9.059906005859375e-06,0.6098592633729749,0.6149908065795898,0.6228116512298584,0.6394961833953857,0.6770349025726319,0.8744549751281738,1.0547654151916503,3.5799352169036784,6.064285135269166,6.607113695144654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0307692307692,1466,114,503.24615384615385,584.4535638389278,341585.96828402375,0.4765699030661877,-1.6176730417621976,137.2,149.8,187.0,199.0,370.0,585.0,1466.0,1466.0,1466.0,685.0307692307692,1466,114,503.24615384615385,584.4535638389278,341585.96828402375,0.4765699030661877,-1.6176730417621976,137.2,149.8,187.0,199.0,370.0,585.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60796, 'TCP')",Whatsapp41.pcap
0,8,8,0.0,1.0,0,2373,13.130429029464722,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.5714285714285714,7,0,0.0,1.801360030416927,1.8757755756378174,12.670289993286133,0.058319807052612305,4.406863659432759,0.05342679023742676,0.11448116302490235,0.17927293777465822,0.232165002822876,0.27694451808929443,0.31827597618103026,0.35909984111785886,0.42205615043640143,4.261226034164427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8757755756378174,12.670289993286133,0.058319807052612305,4.406863659432759,0.05342679023742676,0.11448116302490235,0.17927293777465822,0.232165002822876,0.27694451808929443,0.31827597618103026,0.35909984111785886,0.42205615043640143,4.261226034164427,296.625,711,90,173.875,219.55462731402406,48204.234375,0.8561588193756615,-0.8333569831533287,110.3,123.4,132.2,147.6,189.5,253.8,347.5999999999999,494.2000000000001,621.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.625,711,90,173.875,219.55462731402406,48204.234375,0.8561588193756615,-0.8333569831533287,110.3,123.4,132.2,147.6,189.5,253.8,347.5999999999999,494.2000000000001,621.4,TCP,"('192.168.137.162', '202.104.44.143', 60798, 27101, 'TCP')",Whatsapp41.pcap
11,0,11,1.0,0.0,6842,0,0.4557781219482422,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,11.0,11,11,11.0,0.0,0.04557781219482422,0.17930197715759277,2.6941299438476562e-05,0.06457192979140505,0.17930197715759277,0.1793379783630371,0.2427961826324463,0.24286913871765137,0.30153799057006836,0.3037450313568115,0.30377197265625,0.3039569854736328,0.45510315895080566,0.04557781219482422,0.17930197715759277,2.6941299438476562e-05,0.06457192979140505,0.17930197715759277,0.1793379783630371,0.2427961826324463,0.24286913871765137,0.30153799057006836,0.3037450313568115,0.30377197265625,0.3039569854736328,0.45510315895080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,1466,114,446.54545454545456,541.5012801126479,293223.63636363635,0.5681502536526366,-1.4583748404070327,123.0,132.0,162.0,259.0,350.0,435.0,1112.0,1223.0,1466.0,622.0,1466,114,446.54545454545456,541.5012801126479,293223.63636363635,0.5681502536526366,-1.4583748404070327,123.0,132.0,162.0,259.0,350.0,435.0,1112.0,1223.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60798, 'TCP')",Whatsapp41.pcap
0,1,1,0.0,1.0,0,126,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,UDP,"('192.168.137.162', '224.0.0.251', 5353, 5353, 'UDP')",Whatsapp41.pcap
0,7,7,0.0,1.0,0,3232,0.57157301902771,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.09526216983795166,0.19410300254821777,0.05779409408569336,0.04632681374272086,0.04730401039123536,0.09800138473510744,0.1554854869842529,0.20930089950561526,0.26128196716308594,0.29631834030151366,0.33123474121093743,0.3659111976623536,0.45511121749877936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09526216983795166,0.19410300254821777,0.05779409408569336,0.04632681374272086,0.04730401039123536,0.09800138473510744,0.1554854869842529,0.20930089950561526,0.26128196716308594,0.29631834030151366,0.33123474121093743,0.3659111976623536,0.45511121749877936,461.7142857142857,1411,119,332.57142857142856,449.276152521464,201849.0612244898,1.1477151783197879,0.02849772200657208,123.8,127.6,129.4,138.8,152.0,410.59999999999985,608.3999999999999,684.6000000000001,990.4000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.7142857142857,1411,119,332.57142857142856,449.276152521464,201849.0612244898,1.1477151783197879,0.02849772200657208,123.8,127.6,129.4,138.8,152.0,410.59999999999985,608.3999999999999,684.6000000000001,990.4000000000003,TCP,"('192.168.137.162', '202.104.44.143', 60800, 27101, 'TCP')",Whatsapp41.pcap
6,0,6,1.0,0.0,4052,0,0.4875669479370117,-1,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-6,-6,-6,6.0,6,6,6.0,0.0,0.09751338958740234,0.1802198886871338,4.9114227294921875e-05,0.07029720334661418,0.0901099443435669,0.1802198886871338,0.18024444580078125,0.1802690029144287,0.21675801277160645,0.2532470226287842,0.28225743770599365,0.3112678527832031,0.3994174003601074,0.09751338958740234,0.1802198886871338,4.9114227294921875e-05,0.07029720334661418,0.0901099443435669,0.1802198886871338,0.18024444580078125,0.1802690029144287,0.21675801277160645,0.2532470226287842,0.28225743770599365,0.3112678527832031,0.3994174003601074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.3333333333334,1303,132,368.0,451.46379207590456,203819.5555555556,0.457996471228294,-1.455795300791806,243.5,355.0,395.0,435.0,494.0,553.0,913.5,1274.0,1288.5,675.3333333333334,1303,132,368.0,451.46379207590456,203819.5555555556,0.457996471228294,-1.455795300791806,243.5,355.0,395.0,435.0,494.0,553.0,913.5,1274.0,1288.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60800, 'TCP')",Whatsapp41.pcap
