inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,22,22,0.0,1.0,0,14367,10.793461084365845,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,2.0,17,0,0.0,4.842989309769892,0.5139743373507545,9.384434938430786,0.0,1.9923659637986773,0.08987808227539062,0.09190511703491211,0.09190511703491211,0.09190511703491211,0.259670615196228,0.4320559501647949,0.5451377868652344,8.053958034515388,9.949105978012085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5139743373507545,9.384434938430786,0.0,1.9923659637986773,0.08987808227539062,0.09190511703491211,0.09190511703491211,0.09190511703491211,0.259670615196228,0.4320559501647949,0.5451377868652344,8.053958034515388,9.949105978012085,653.0454545454545,1466,92,434.95454545454544,533.7180458625498,284854.95247933886,0.6434264731168441,-1.230809894107071,127.0,138.4,233.29999999999998,331.4,449.5,609.4,793.6999999999998,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0454545454545,1466,92,434.95454545454544,533.7180458625498,284854.95247933886,0.6434264731168441,-1.230809894107071,127.0,138.4,233.29999999999998,331.4,449.5,609.4,793.6999999999998,1466.0,1466.0,"('192.168.137.246', '43.137.153.28', 53738, 443, 'TCP')",Kugou29.pcap
19,0,19,1.0,0.0,9112,0,10.838544130325317,-1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,1.7272727272727273,15,0,0.0,4.287209499109671,0.6021413405736288,9.320290088653564,1.0967254638671875e-05,2.1215555608281176,5.207061767578125e-05,0.02517204284667969,0.059288883209228496,0.14039044380187987,0.1481311321258545,0.3691227912902829,0.51620774269104,4.3298220634460485,10.176442575454711,0.6021413405736288,9.320290088653564,1.0967254638671875e-05,2.1215555608281176,5.207061767578125e-05,0.02517204284667969,0.059288883209228496,0.14039044380187987,0.1481311321258545,0.3691227912902829,0.51620774269104,4.3298220634460485,10.176442575454711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.57894736842104,1466,96,347.8421052631579,466.90811851555344,218003.1911357341,1.2636226354310107,0.32400655062038153,96.0,101.4,115.8,152.4,397.0,535.8,538.8,557.4,1466.0,479.57894736842104,1466,96,347.8421052631579,466.90811851555344,218003.1911357341,1.2636226354310107,0.32400655062038153,96.0,101.4,115.8,152.4,397.0,535.8,538.8,557.4,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.137.153.28', '192.168.137.246', 443, 53738, 'TCP')",Kugou29.pcap
0,5,5,0.0,1.0,0,1341,0.08879494667053223,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.022198736667633057,0.04654812812805176,0.0,0.022250765552173306,0.018619251251220704,0.03723850250244141,0.05499749183654785,0.07189621925354005,0.08879494667053223,0.08879494667053223,0.08879494667053223,0.08879494667053223,0.08879494667053223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198736667633057,0.04654812812805176,0.0,0.022250765552173306,0.018619251251220704,0.03723850250244141,0.05499749183654785,0.07189621925354005,0.08879494667053223,0.08879494667053223,0.08879494667053223,0.08879494667053223,0.08879494667053223,268.2,571,92,120.6,165.71107386049974,27460.159999999996,0.9337062634495301,-0.4901180731073578,127.2,162.4,182.8,188.4,194.0,238.0,282.0,357.40000000000003,464.20000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.2,571,92,120.6,165.71107386049974,27460.159999999996,0.9337062634495301,-0.4901180731073578,127.2,162.4,182.8,188.4,194.0,238.0,282.0,357.40000000000003,464.20000000000005,"('192.168.137.246', '43.137.153.28', 53739, 443, 'TCP')",Kugou29.pcap
0,5,5,0.0,1.0,0,1881,0.38237500190734863,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.09559375047683716,0.2996821403503418,0.0,0.11903722525173749,0.017080020904541016,0.03416004180908203,0.0506986141204834,0.06669573783874512,0.08269286155700684,0.08269286155700684,0.08269286155700684,0.14262928962707525,0.2625021457672119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09559375047683716,0.2996821403503418,0.0,0.11903722525173749,0.017080020904541016,0.03416004180908203,0.0506986141204834,0.06669573783874512,0.08269286155700684,0.08269286155700684,0.08269286155700684,0.14262928962707525,0.2625021457672119,376.2,789,92,217.6,262.2192975354789,68758.96,0.5010488850905529,-1.3609782636424002,127.2,162.4,193.8,221.4,249.0,377.79999999999995,506.5999999999999,614.6,701.8000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.2,789,92,217.6,262.2192975354789,68758.96,0.5010488850905529,-1.3609782636424002,127.2,162.4,193.8,221.4,249.0,377.79999999999995,506.5999999999999,614.6,701.8000000000001,"('192.168.137.246', '43.137.153.28', 53740, 443, 'TCP')",Kugou29.pcap
0,5,5,0.0,1.0,0,1590,0.09229803085327148,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.02307450771331787,0.04660320281982422,0.0,0.023076742606053212,0.018277931213378906,0.03655586242675782,0.055015468597412104,0.07365674972534181,0.09229803085327148,0.09229803085327148,0.09229803085327148,0.09229803085327148,0.09229803085327148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02307450771331787,0.04660320281982422,0.0,0.023076742606053212,0.018277931213378906,0.03655586242675782,0.055015468597412104,0.07365674972534181,0.09229803085327148,0.09229803085327148,0.09229803085327148,0.09229803085327148,0.09229803085327148,318.0,571,92,155.4,179.3008644708664,32148.8,0.059128905287003625,-1.4865348840713555,114.0,136.0,184.6,259.8,335.0,379.0,423.0,470.20000000000005,520.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,571,92,155.4,179.3008644708664,32148.8,0.059128905287003625,-1.4865348840713555,114.0,136.0,184.6,259.8,335.0,379.0,423.0,470.20000000000005,520.6,"('192.168.137.246', '157.255.220.153', 53742, 443, 'TCP')",Kugou29.pcap
0,28,28,0.0,1.0,0,16253,20.188920974731445,1,2,3,5,6,8,9,10,12,13,15,16,17,19,20,22,23,24,26,27,1.3333333333333333,16,0,0.0,3.509623956702529,0.7477378138789424,9.873386144638062,0.0,2.1650675966223067,0.08525896072387695,0.08525896072387695,0.08552846908569336,0.08992767333984375,0.3714420795440674,4.6895702362060545,4.690299034118652,9.759414100646973,10.310739994049072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7477378138789424,9.873386144638062,0.0,2.1650675966223067,0.08525896072387695,0.08525896072387695,0.08552846908569336,0.08992767333984375,0.3714420795440674,4.6895702362060545,4.690299034118652,9.759414100646973,10.310739994049072,580.4642857142857,1466,92,362.17857142857144,463.73887989308145,215053.7487244898,0.9151872929025326,-0.39902844172106366,130.0,130.0,192.39999999999995,354.40000000000003,504.0,616.2,683.5999999999999,795.6000000000003,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.4642857142857,1466,92,362.17857142857144,463.73887989308145,215053.7487244898,0.9151872929025326,-0.39902844172106366,130.0,130.0,192.39999999999995,354.40000000000003,504.0,616.2,683.5999999999999,795.6000000000003,1466.0,"('192.168.137.246', '43.137.152.223', 53745, 443, 'TCP')",Kugou29.pcap
0,4,4,0.0,1.0,0,1606,0.09988999366760254,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.033296664555867515,0.051733970642089844,0.0,0.02358956450348636,0.015520191192626955,0.03104038238525391,0.046560573577880855,0.06136517524719239,0.07581198215484619,0.0902587890625,0.09988999366760254,0.09988999366760254,0.09988999366760254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033296664555867515,0.051733970642089844,0.0,0.02358956450348636,0.015520191192626955,0.03104038238525391,0.046560573577880855,0.06136517524719239,0.07581198215484619,0.0902587890625,0.09988999366760254,0.09988999366760254,0.09988999366760254,401.5,571,147,124.5,157.99604425427873,24962.75,-0.7043344711257754,-0.9697306947713029,225.0,303.0,381.0,421.8,444.0,466.2,489.99999999999994,517.0,544.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.5,571,147,124.5,157.99604425427873,24962.75,-0.7043344711257754,-0.9697306947713029,225.0,303.0,381.0,421.8,444.0,466.2,489.99999999999994,517.0,544.0,"('192.168.137.246', '43.140.4.199', 53744, 443, 'TCP')",Kugou29.pcap
0,7,7,0.0,1.0,0,2389,9.533833980560303,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.7,5,0,0.0,1.4866068747318504,1.5889723300933838,5.259614944458008,0.0,2.2263205566457223,0.03742804527282716,0.062380075454711914,0.062380075454711914,0.062380075454711914,0.062380075454711914,0.09990525245666501,0.954781436920163,3.444359636306766,6.3780650138855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5889723300933838,5.259614944458008,0.0,2.2263205566457223,0.03742804527282716,0.062380075454711914,0.062380075454711914,0.062380075454711914,0.062380075454711914,0.09990525245666501,0.954781436920163,3.444359636306766,6.3780650138855,341.2857142857143,595,97,179.71428571428572,200.59248973671848,40237.3469387755,-0.005641149428932541,-1.6853721133269657,113.8,129.20000000000002,141.79999999999998,245.60000000000008,395.0,426.79999999999995,474.9999999999999,556.0000000000001,587.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.2857142857143,595,97,179.71428571428572,200.59248973671848,40237.3469387755,-0.005641149428932541,-1.6853721133269657,113.8,129.20000000000002,141.79999999999998,245.60000000000008,395.0,426.79999999999995,474.9999999999999,556.0000000000001,587.8,"('192.168.137.246', '183.47.99.153', 53743, 443, 'TCP')",Kugou29.pcap
0,28,28,0.0,1.0,0,28522,0.9777510166168213,1,2,3,5,6,8,9,10,12,13,15,16,17,19,20,22,23,24,26,27,28.0,28,28,28.0,0.0,0.03621300061543783,0.5631449222564697,0.0,0.10944697791633075,0.09805703163146973,0.09805703163146973,0.26810312271118164,0.26810312271118164,0.8420500755310059,0.854119873046875,0.9080331325531006,0.9493142604827882,0.9777510166168213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03621300061543783,0.5631449222564697,0.0,0.10944697791633075,0.09805703163146973,0.09805703163146973,0.26810312271118164,0.26810312271118164,0.8420500755310059,0.854119873046875,0.9080331325531006,0.9493142604827882,0.9777510166168213,1018.6428571428571,1466,147,447.35714285714283,529.0828462190636,279928.6581632654,-0.41977264386465696,-1.6778309435441316,355.20000000000005,387.0,483.7,752.8000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.6428571428571,1466,147,447.35714285714283,529.0828462190636,279928.6581632654,-0.41977264386465696,-1.6778309435441316,355.20000000000005,387.0,483.7,752.8000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,"('192.168.137.246', '183.232.91.89', 53749, 443, 'TCP')",Kugou29.pcap
8,0,8,1.0,0.0,6392,0,0.14787793159484863,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,8.0,8,8,8.0,0.0,0.02112541879926409,0.056784868240356445,1.0967254638671875e-05,0.024501719140812787,0.0001126527786254883,0.0002997875213623047,0.0005094528198242188,0.0005191326141357422,0.023529410362243652,0.04653911590576172,0.04654679298400879,0.0732749938964844,0.10812852382659911,0.02112541879926409,0.056784868240356445,1.0967254638671875e-05,0.024501719140812787,0.0001126527786254883,0.0002997875213623047,0.0005094528198242188,0.0005191326141357422,0.023529410362243652,0.04653911590576172,0.04654679298400879,0.0732749938964844,0.10812852382659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,1466,105,616.5,625.7739208372302,391593.0,-0.02633345980940969,-1.9081640828423954,105.0,112.2,150.40000000000003,342.20000000000005,830.5,1304.4,1445.8,1466.0,1466.0,799.0,1466,105,616.5,625.7739208372302,391593.0,-0.02633345980940969,-1.9081640828423954,105.0,112.2,150.40000000000003,342.20000000000005,830.5,1304.4,1445.8,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.137.153.28', '192.168.137.246', 443, 53739, 'TCP')",Kugou29.pcap
