inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,75,75,0.0,1.0,0,59611,14.666872024536133,1,4,8,12,16,19,23,27,31,34,38,42,46,49,53,57,61,64,68,72,5.0,29,0,0.0,9.136009340333812,0.19820097330454234,5.454974174499512,0.0,0.8708568384218882,0.7244760990142822,0.7985029220581055,0.9391499996185302,1.2619569301605225,1.2635729312896729,1.66560697555542,1.940901899337768,8.3328763961792,14.574658870697021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19820097330454234,5.454974174499512,0.0,0.8708568384218882,0.7244760990142822,0.7985029220581055,0.9391499996185302,1.2619569301605225,1.2635729312896729,1.66560697555542,1.940901899337768,8.3328763961792,14.574658870697021,794.8133333333334,1466,111,423.82666666666665,514.7613477676384,264979.24515555555,0.11141949709049838,-1.404715777283033,127.0,127.0,509.2,727.6,736.0,736.0,1340.9999999999993,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.8133333333334,1466,111,423.82666666666665,514.7613477676384,264979.24515555555,0.11141949709049838,-1.404715777283033,127.0,127.0,509.2,727.6,736.0,736.0,1340.9999999999993,1466.0,1466.0,TCP,"('192.168.137.162', '183.2.150.64', 62817, 27101, 'TCP')",Spotify25.pcap
0,9,9,0.0,1.0,0,2367,14.693169116973877,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,0.6,8,0,0.0,1.9933221850301404,1.8366461396217346,14.037561893463135,0.058326005935668945,4.611795043364334,0.059080886840820315,0.1314084529876709,0.20152726173400878,0.2616865158081055,0.3118400573730469,0.36099853515624997,0.40828375816345214,0.5212113857269288,3.4631196022033714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8366461396217346,14.037561893463135,0.058326005935668945,4.611795043364334,0.059080886840820315,0.1314084529876709,0.20152726173400878,0.2616865158081055,0.3118400573730469,0.36099853515624997,0.40828375816345214,0.5212113857269288,3.4631196022033714,263.0,715,90,145.66666666666666,218.09579954180177,47565.77777777778,1.1613070226762257,-0.31298754943325013,113.2,123.8,127.0,127.6,130.0,147.6,255.19999999999993,427.6000000000001,609.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,715,90,145.66666666666666,218.09579954180177,47565.77777777778,1.1613070226762257,-0.31298754943325013,113.2,123.8,127.0,127.6,130.0,147.6,255.19999999999993,427.6000000000001,609.4,TCP,"('192.168.137.162', '183.2.150.64', 62818, 27101, 'TCP')",Spotify25.pcap
0,9,9,0.0,1.0,0,3474,14.692478895187378,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,0.6,8,0,0.0,1.9933221850301404,1.8365598618984222,14.249361038208008,0.0,4.691796648044223,0.0666646957397461,0.1682626247406006,0.2574674129486084,0.30634284019470215,0.30634284019470215,0.30634284019470215,0.3466701030731201,0.40138010978698735,3.292990064620974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365598618984222,14.249361038208008,0.0,4.691796648044223,0.0666646957397461,0.1682626247406006,0.2574674129486084,0.30634284019470215,0.30634284019470215,0.30634284019470215,0.3466701030731201,0.40138010978698735,3.292990064620974,386.0,1466,90,275.3333333333333,439.69484367633373,193331.55555555556,1.5492854710232153,1.175292449143444,95.6,110.2,122.2,127.6,130.0,147.6,410.59999999999985,633.8000000000001,861.2000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,1466,90,275.3333333333333,439.69484367633373,193331.55555555556,1.5492854710232153,1.175292449143444,95.6,110.2,122.2,127.6,130.0,147.6,410.59999999999985,633.8000000000001,861.2000000000002,TCP,"('192.168.137.162', '183.2.150.64', 62819, 27101, 'TCP')",Spotify25.pcap
0,11,11,0.0,1.0,0,5498,14.691171884536743,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,10,10,11,0.7333333333333333,8,0,0.0,2.0154955277107964,1.4691171884536742,13.160509824752808,0.0,3.9060353397266856,0.08715677261352539,0.22357678413391113,0.3030509948730469,0.3040759563446045,0.3040759563446045,0.36640191078186035,0.6014039516448975,13.761913776397705,13.761913776397705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4691171884536742,13.160509824752808,0.0,3.9060353397266856,0.08715677261352539,0.22357678413391113,0.3030509948730469,0.3040759563446045,0.3040759563446045,0.36640191078186035,0.6014039516448975,13.761913776397705,13.761913776397705,499.8181818181818,1466,90,364.27272727272725,495.29326816301807,245315.4214876033,1.1437496446850552,-0.20322114608447395,119.0,119.0,130.0,152.0,271.0,391.0,583.0,711.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.8181818181818,1466,90,364.27272727272725,495.29326816301807,245315.4214876033,1.1437496446850552,-0.20322114608447395,119.0,119.0,130.0,152.0,271.0,391.0,583.0,711.0,1466.0,TCP,"('192.168.137.162', '183.2.150.64', 62820, 27101, 'TCP')",Spotify25.pcap
8,0,8,1.0,0.0,5348,0,14.687839984893799,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,0.5333333333333333,7,0,0.0,1.746106780494506,2.0982628549848283,14.320925951004028,1.3113021850585938e-05,4.990176624492027,0.1227421283721924,0.17536468505859376,0.1753941774368286,0.17540335655212402,0.21102440357208252,0.25921244621276857,0.3032061100006103,0.34394478797912603,4.663191819190977,2.0982628549848283,14.320925951004028,1.3113021850585938e-05,4.990176624492027,0.1227421283721924,0.17536468505859376,0.1753941774368286,0.17540335655212402,0.21102440357208252,0.25921244621276857,0.3032061100006103,0.34394478797912603,4.663191819190977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.5,1466,90,435.75,515.0614041063453,265288.25,0.5379592114749486,-1.1590676561330375,110.3,186.20000000000002,301.8,405.40000000000003,570.5,720.6,771.6999999999999,1191.2000000000003,1466.0,668.5,1466,90,435.75,515.0614041063453,265288.25,0.5379592114749486,-1.1590676561330375,110.3,186.20000000000002,301.8,405.40000000000003,570.5,720.6,771.6999999999999,1191.2000000000003,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.64', '192.168.137.162', 27101, 62818, 'TCP')",Spotify25.pcap
39,0,39,1.0,0.0,19275,0,13.949494123458862,-1,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,2.7857142857142856,19,0,0.0,5.280402736650348,0.36709195061733846,5.601405143737793,5.0067901611328125e-06,1.228188429351421,0.2857034206390381,0.5999992370605469,0.8666232109069825,0.9291623115539551,1.086219072341919,1.7495649814605714,7.37755970954895,8.227343940734864,8.346551609039306,0.36709195061733846,5.601405143737793,5.0067901611328125e-06,1.228188429351421,0.2857034206390381,0.5999992370605469,0.8666232109069825,0.9291623115539551,1.086219072341919,1.7495649814605714,7.37755970954895,8.227343940734864,8.346551609039306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.2307692307692,1466,67,335.2307692307692,477.1597303671211,227681.4082840237,1.1646833388343967,-0.25994892201435427,127.0,127.0,161.0,220.00000000000003,259.0,372.8,443.4,1039.4000000000003,1466.0,494.2307692307692,1466,67,335.2307692307692,477.1597303671211,227681.4082840237,1.1646833388343967,-0.25994892201435427,127.0,127.0,161.0,220.00000000000003,259.0,372.8,443.4,1039.4000000000003,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.64', '192.168.137.162', 27101, 62817, 'TCP')",Spotify25.pcap
10,0,10,1.0,0.0,7242,0,14.68544316291809,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,-10,-10,0.6666666666666666,9,0,0.0,2.2410315085295482,1.631715906990899,13.986448049545288,8.106231689453125e-06,4.369418853575989,0.20842738151550294,0.23159246444702147,0.23168370723724366,0.27666449546813965,0.3074425458908081,0.3353650093078613,0.376031231880188,0.440637493133545,2.0976399183273267,1.631715906990899,13.986448049545288,8.106231689453125e-06,4.369418853575989,0.20842738151550294,0.23159246444702147,0.23168370723724366,0.27666449546813965,0.3074425458908081,0.3353650093078613,0.376031231880188,0.440637493133545,2.0976399183273267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.2,1466,90,428.8,501.2853079833878,251286.95999999996,0.13661252257810702,-1.3201553402180228,116.1,125.4,342.5999999999999,597.6,738.5,842.9999999999999,999.0,1182.0,1466.0,724.2,1466,90,428.8,501.2853079833878,251286.95999999996,0.13661252257810702,-1.3201553402180228,116.1,125.4,342.5999999999999,597.6,738.5,842.9999999999999,999.0,1182.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.64', '192.168.137.162', 27101, 62819, 'TCP')",Spotify25.pcap
12,0,12,1.0,0.0,8347,0,14.687160015106201,-1,-1,-2,-2,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-10,-10,-11,-11,-12,0.8,9,0,0.0,2.2568414506414345,1.3351963650096546,13.321274042129517,6.9141387939453125e-06,3.796855549872187,0.22879972457885742,0.22884531021118165,0.2288529872894287,0.2288640022277832,0.263527512550354,0.3012407302856445,0.5106359243392942,11.256522035598763,13.921443748474122,1.3351963650096546,13.321274042129517,6.9141387939453125e-06,3.796855549872187,0.22879972457885742,0.22884531021118165,0.2288529872894287,0.2288640022277832,0.263527512550354,0.3012407302856445,0.5106359243392942,11.256522035598763,13.921443748474122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5833333333334,1466,90,441.9166666666667,497.70765487605496,247712.90972222225,0.31210940217427413,-1.3577963022569952,119.0,165.40000000000003,368.09999999999997,418.8,559.0,838.3999999999999,978.4,1218.0000000000002,1446.8000000000002,695.5833333333334,1466,90,441.9166666666667,497.70765487605496,247712.90972222225,0.31210940217427413,-1.3577963022569952,119.0,165.40000000000003,368.09999999999997,418.8,559.0,838.3999999999999,978.4,1218.0000000000002,1446.8000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.64', '192.168.137.162', 27101, 62820, 'TCP')",Spotify25.pcap
0,8,8,0.0,1.0,0,2512,14.562131881713867,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.5333333333333333,7,0,0.0,1.746106780494506,2.0803045545305525,13.809470891952515,0.06020689010620117,4.789720793987475,0.05331463813781739,0.1143378257751465,0.211050820350647,0.48721418380737314,0.5979709625244141,0.6418653011322022,0.684010124206543,0.7276089191436768,4.895502257347104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0803045545305525,13.809470891952515,0.06020689010620117,4.789720793987475,0.05331463813781739,0.1143378257751465,0.211050820350647,0.48721418380737314,0.5979709625244141,0.6418653011322022,0.684010124206543,0.7276089191436768,4.895502257347104,314.0,713,90,197.5,248.86944368483648,61936.0,0.5694350820668558,-1.5627274859252134,110.3,122.2,127.3,129.4,141.0,238.20000000000007,539.8999999999997,592.0,632.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,713,90,197.5,248.86944368483648,61936.0,0.5694350820668558,-1.5627274859252134,110.3,122.2,127.3,129.4,141.0,238.20000000000007,539.8999999999997,592.0,632.5,TCP,"('192.168.137.162', '183.2.150.64', 62823, 27101, 'TCP')",Spotify25.pcap
11,0,11,1.0,0.0,6094,0,14.554758071899414,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,0.7333333333333333,10,0,0.0,2.4890872936792623,1.4554758071899414,13.86857795715332,1.7881393432617188e-05,4.138662203922402,0.18212199211120605,0.18227505683898926,0.46930408477783203,0.46932411193847656,0.4693419933319092,0.5627920627593994,0.6246039867401123,0.6861209869384766,0.6861801147460938,1.4554758071899414,13.86857795715332,1.7881393432617188e-05,4.138662203922402,0.18212199211120605,0.18227505683898926,0.46930408477783203,0.46932411193847656,0.4693419933319092,0.5627920627593994,0.6246039867401123,0.6861209869384766,0.6861801147460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,1466,88,382.45454545454544,459.9209418229102,211527.27272727274,0.7195359838207341,-0.7031754441154012,90.0,119.0,127.0,302.0,435.0,706.0,738.0,749.0,1274.0,554.0,1466,88,382.45454545454544,459.9209418229102,211527.27272727274,0.7195359838207341,-0.7031754441154012,90.0,119.0,127.0,302.0,435.0,706.0,738.0,749.0,1274.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.64', '192.168.137.162', 27101, 62823, 'TCP')",Spotify25.pcap
